train/n_updates,time/episodes,train/reward,train/critic_loss,time/total_timesteps,time/time_elapsed,train/actor_loss,time/fps,train/learning_rate
11013,4,0.20974576,5363.841088354085,14684,223,59.84280635863015,65,0.001
25697,8,0.20974576,32.159816158334166,29368,501,6.470450137759369,58,0.001
40381,12,0.20974576,7.436179913217123,44052,773,-2.6643282144194207,56,0.001
