time/iterations,time/fps,train/policy_loss,train/entropy_loss,time/time_elapsed,time/total_timesteps,train/reward,train/explained_variance,train/std,train/n_updates,train/learning_rate,train/value_loss
100,132,-15.769271850585938,-41.30352783203125,3,500,-0.035204124,0.47994929552078247,1.0057240724563599,99,0.0007,0.3762972354888916
200,132,-89.17103576660156,-41.326080322265625,7,1000,-0.3196634,0.09689980745315552,1.0062421560287476,199,0.0007,5.2878828048706055
300,133,-422.0088806152344,-41.28643035888672,11,1500,4.7926707,-0.26359617710113525,1.0051130056381226,299,0.0007,115.14399719238281
400,133,15.886319160461426,-41.32842254638672,14,2000,2.6945791,-1.437549352645874,1.0067588090896606,399,0.0007,2.4253697395324707
500,133,775.3951416015625,-41.35051345825195,18,2500,-13.562851,0.016216695308685303,1.0073074102401733,499,0.0007,421.8780822753906
600,133,81.3353271484375,-41.403892517089844,22,3000,7.3049016,-1.1920928955078125e-07,1.009209156036377,599,0.0007,41.407894134521484
700,133,333.4720153808594,-41.43797302246094,26,3500,-9.92077,0.02167564630508423,1.0106152296066284,699,0.0007,60.20717239379883
800,132,5.369462490081787,-41.43965148925781,30,4000,-0.9046468,-1.0201070308685303,1.010532021522522,799,0.0007,1.4228477478027344
900,132,-67.64774322509766,-41.4268798828125,33,4500,0.30404815,0.0049329400062561035,1.0099295377731323,899,0.0007,6.697396755218506
1000,132,-107.88618469238281,-41.469242095947266,37,5000,3.29376,0.0,1.0113667249679565,999,0.0007,14.486345291137695
1100,133,105.12113952636719,-41.45182800292969,41,5500,-1.1267415,-0.04899704456329346,1.0109186172485352,1099,0.0007,10.719416618347168
1200,133,-168.90084838867188,-41.46438217163086,45,6000,1.2062398,-0.056259751319885254,1.011309027671814,1199,0.0007,67.1456298828125
1300,133,-631.6858520507812,-41.40018081665039,48,6500,-6.5842104,0.0,1.0090147256851196,1299,0.0007,1170.540771484375
1400,133,832.3679809570312,-41.387969970703125,52,7000,8.389117,-1.1920928955078125e-07,1.0085740089416504,1399,0.0007,516.362060546875
1500,133,76.21099853515625,-41.47017288208008,56,7500,0.35333356,-1.7257399559020996,1.0115900039672852,1499,0.0007,4.897132873535156
1600,133,-207.47348022460938,-41.56614303588867,59,8000,0.6685716,0.0,1.0149459838867188,1599,0.0007,35.016971588134766
1700,133,117.81391906738281,-41.5683708190918,63,8500,-2.2444923,0.0,1.015068531036377,1699,0.0007,9.135042190551758
1800,133,99.85423278808594,-41.55451583862305,67,9000,2.765407,0.0,1.014499545097351,1799,0.0007,11.632001876831055
1900,133,-1.9335670471191406,-41.58132553100586,71,9500,0.64717525,-0.0002809762954711914,1.0153143405914307,1899,0.0007,8.267778396606445
2000,133,-308.14483642578125,-41.53053283691406,74,10000,0.27258858,0.0,1.0139107704162598,1999,0.0007,67.78703308105469
2100,133,949.8314208984375,-41.547142028808594,78,10500,-0.66349435,5.960464477539063e-08,1.014405369758606,2099,0.0007,524.0394897460938
2200,133,-817.0162963867188,-41.53082275390625,82,11000,-1.1649543,0.0,1.0139877796173096,2199,0.0007,542.0989990234375
2300,133,-0.6372162103652954,-41.604087829589844,86,11500,0.76397276,0.0,1.0164433717727661,2299,0.0007,0.8631836771965027
2400,133,-3.7149767875671387,-41.606197357177734,89,12000,-0.21070686,5.960464477539063e-08,1.0166699886322021,2399,0.0007,0.7145783305168152
2500,133,-19.15993881225586,-41.57818603515625,93,12500,1.8773354,0.0,1.0154231786727905,2499,0.0007,0.8612138032913208
2600,133,-140.6359405517578,-41.606624603271484,97,13000,-4.718685,0.0,1.0167945623397827,2599,0.0007,24.844375610351562
2700,133,211.5245361328125,-41.624732971191406,100,13500,4.1919436,0.0,1.0172195434570312,2699,0.0007,48.001739501953125
2800,133,548.9921264648438,-41.63837432861328,104,14000,0.51880693,1.1920928955078125e-07,1.0173966884613037,2799,0.0007,218.7304229736328
2900,133,24.67719078063965,-41.65229415893555,108,14500,3.1642675,0.0,1.0181543827056885,2899,0.0007,61.62044143676758
3000,134,-5.056314945220947,-41.65778350830078,111,15000,-0.39164338,0.1063237190246582,1.0184147357940674,2999,0.0007,0.33059459924697876
3100,134,-72.04985809326172,-41.64640808105469,115,15500,-0.5437746,5.364418029785156e-07,1.0178848505020142,3099,0.0007,3.205554485321045
3200,134,77.86863708496094,-41.68076705932617,119,16000,1.192557,0.0,1.0192681550979614,3199,0.0007,5.178784370422363
3300,134,44.200599670410156,-41.67963409423828,122,16500,1.903054,1.1920928955078125e-07,1.0191069841384888,3299,0.0007,3.012310266494751
3400,134,396.72052001953125,-41.58854293823242,126,17000,0.49825346,0.0,1.0158740282058716,3399,0.0007,100.22267150878906
3500,133,336.26129150390625,-41.63276672363281,130,17500,-27.99024,0.0005110502243041992,1.0173953771591187,3499,0.0007,206.6106719970703
3600,134,291.5882873535156,-41.59373474121094,134,18000,1.4738306,0.0,1.0163075923919678,3599,0.0007,115.9466781616211
3700,134,42.23484802246094,-41.56956481933594,137,18500,-0.20221408,0.00036388635635375977,1.0155789852142334,3699,0.0007,1.4149794578552246
3800,134,-13.476858139038086,-41.629417419433594,141,19000,-0.48623055,0.0,1.0175747871398926,3799,0.0007,0.7278672456741333
3900,133,45.139320373535156,-41.656681060791016,145,19500,-1.1454475,0.0,1.0184640884399414,3899,0.0007,4.5565619468688965
4000,133,9.682934761047363,-41.656028747558594,149,20000,-0.16387218,0.0011194348335266113,1.0184930562973022,3999,0.0007,4.826107025146484
4100,134,-9.39746379852295,-41.61674499511719,152,20500,1.0299325,0.0,1.0173088312149048,4099,0.0007,1.9753196239471436
4200,134,108.646728515625,-41.68764114379883,156,21000,1.3629103,0.0,1.0196278095245361,4199,0.0007,8.992932319641113
4300,134,163.73837280273438,-41.71023941040039,160,21500,-2.31176,5.960464477539063e-08,1.0206080675125122,4299,0.0007,42.70792007446289
4400,134,-219.2489776611328,-41.71806335449219,164,22000,4.963215,0.0,1.0208065509796143,4399,0.0007,49.875328063964844
4500,134,-64.68650817871094,-41.73008728027344,167,22500,1.755477,-0.5053524971008301,1.0214557647705078,4499,0.0007,2.87726092338562
4600,134,-185.74838256835938,-41.76932907104492,171,23000,-1.5595155,0.0,1.0224803686141968,4599,0.0007,17.694087982177734
4700,134,143.48312377929688,-41.82858657836914,174,23500,1.0214059,-1.1920928955078125e-07,1.0250537395477295,4699,0.0007,13.613268852233887
4800,134,-78.69419860839844,-41.85088348388672,178,24000,-0.86255395,0.0,1.025775671005249,4799,0.0007,4.373955249786377
4900,134,40.7068977355957,-41.802791595458984,182,24500,8.06666,0.0,1.0240191221237183,4899,0.0007,4.085153102874756
5000,134,-543.3353271484375,-41.79744338989258,186,25000,-7.003933,5.960464477539063e-08,1.023842692375183,4999,0.0007,189.23463439941406
5100,134,302.0107727050781,-41.862464904785156,189,25500,-0.86915326,-0.06774711608886719,1.0263139009475708,5099,0.0007,133.86940002441406
5200,134,48.91444396972656,-41.896392822265625,193,26000,1.4819722,5.960464477539063e-08,1.027328372001648,5199,0.0007,2.1161420345306396
5300,134,-111.43387603759766,-41.856781005859375,197,26500,-1.0276035,0.0,1.0259976387023926,5299,0.0007,7.106308937072754
5400,134,-201.427001953125,-41.8223991394043,200,27000,-1.2848601,0.0,1.0250413417816162,5399,0.0007,29.559621810913086
5500,134,544.7115478515625,-41.84511184692383,204,27500,1.5969976,0.0,1.0256502628326416,5499,0.0007,199.5013427734375
5600,134,428.33782958984375,-41.815521240234375,208,28000,-1.1612415,-1.1920928955078125e-07,1.024876356124878,5599,0.0007,202.64505004882812
